#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 193834:2605 | 05/10/12 05:55:15 | 35   | 35   | 995983.776     | 986845.989    |
| 193835:2605 | 05/10/12 06:13:07 | 25   | 25   | 689084.966     | 645087.366    |
| 193836:2605 | 05/10/12 06:26:39 | 2    | 2    | 55052.366      | 54007.181     |
| 193998:2616 | 05/11/12 10:06:42 | 212  | 212  | 19358319.720   | 19072545.776  |
| 193999:2616 | 05/11/12 11:39:22 | 45   | 45   | 3655908.267    | 3622618.223   |
| 194027:2617 | 05/11/12 19:23:58 | 57   | 57   | 5247754.173    | 5184329.262   |
| 194050:2621 | 05/12/12 04:50:00 | 1801 | 1801 | 110625761.301  | 108978715.728 |
| 194051:2621 | 05/12/12 16:49:13 | 12   | 12   | 490981.483     | 479719.533    |
| 194052:2621 | 05/12/12 16:58:27 | 164  | 164  | 6521859.929    | 6468105.178   |
| 194075:2623 | 05/13/12 00:28:32 | 60   | 60   | 5630016.888    | 4895863.651   |
| 194076:2623 | 05/13/12 00:57:23 | 734  | 734  | 54107149.665   | 53624595.653  |
| 194108:2624 | 05/13/12 14:55:42 | 778  | 778  | 62027959.517   | 61240438.804  |
| 194115:2627 | 05/13/12 23:30:08 | 700  | 700  | 54740924.423   | 53028793.914  |
| 194117:2627 | 05/14/12 04:46:14 | 38   | 38   | 2290541.656    | 2250708.373   |
| 194119:2627 | 05/14/12 05:06:15 | 259  | 259  | 14639753.446   | 14535495.239  |
| 194120:2627 | 05/14/12 06:53:41 | 404  | 404  | 19143906.608   | 19012608.798  |
| 194150:2628 | 05/14/12 18:19:39 | 267  | 267  | 27094243.104   | 26689715.444  |
| 194151:2628 | 05/14/12 21:32:50 | 570  | 570  | 41076693.458   | 40538811.028  |
| 194153:2628 | 05/15/12 01:22:35 | 115  | 115  | 7042362.077    | 6961804.698   |
| 194199:2629 | 05/15/12 10:32:52 | 304  | 304  | 27256792.359   | 26935637.279  |
| 194210:2629 | 05/15/12 12:42:01 | 548  | 548  | 39033568.183   | 38709346.493  |
| 194223:2630 | 05/15/12 18:57:21 | 52   | 52   | 6471312.920    | 6176596.848   |
| 194224:2630 | 05/15/12 19:23:01 | 403  | 403  | 42903698.913   | 42225235.307  |
| 194225:2630 | 05/15/12 22:08:13 | 144  | 144  | 12882972.937   | 12753945.035  |
| 194270:2632 | 05/16/12 16:57:57 | 13   | 13   | 1492032.388    | 1468927.670   |
| 194303:2634 | 05/16/12 23:18:49 | 45   | 45   | 5286795.135    | 5068925.826   |
| 194304:2634 | 05/16/12 23:40:48 | 44   | 44   | 4950198.719    | 4810434.422   |
| 194305:2634 | 05/17/12 00:05:25 | 84   | 84   | 8847943.264    | 8658738.387   |
| 194314:2635 | 05/17/12 02:50:05 | 247  | 247  | 28787380.981   | 28184420.526  |
| 194315:2635 | 05/17/12 04:35:43 | 459  | 459  | 42161157.613   | 41630208.054  |
| 194317:2635 | 05/17/12 07:49:32 | 20   | 20   | 1563381.987    | 1486670.704   |
| 194424:2644 | 05/18/12 09:57:28 | 632  | 632  | 68106587.038   | 66816702.445  |
| 194428:2644 | 05/18/12 14:20:51 | 461  | 461  | 36251100.829   | 35918136.804  |
| 194429:2644 | 05/18/12 18:03:28 | 1009 | 1009 | 56315591.596   | 55908948.767  |
| 194439:2645 | 05/19/12 06:24:56 | 60   | 60   | 8152076.649    | 7801697.245   |
| 194455:2646 | 05/19/12 09:16:15 | 219  | 219  | 27842973.439   | 27118553.776  |
| 194464:2646 | 05/19/12 11:01:46 | 206  | 206  | 22256555.323   | 21859494.916  |
| 194479:2646 | 05/19/12 12:28:43 | 435  | 435  | 37009815.815   | 36591320.434  |
| 194480:2646 | 05/19/12 16:13:22 | 1386 | 1386 | 80978264.701   | 80386311.996  |
| 194533:2648 | 05/20/12 14:17:30 | 823  | 823  | 77487619.147   | 76524027.055  |
| 194619:2649 | 05/21/12 09:51:23 | 80   | 80   | 10197871.572   | 9956076.849   |
| 194631:2649 | 05/21/12 10:47:32 | 219  | 219  | 24614624.163   | 23783105.078  |
| 194643:2649 | 05/21/12 12:17:52 | 287  | 287  | 27942494.695   | 27467854.705  |
| 194644:2649 | 05/21/12 14:15:38 | 415  | 415  | 33526952.037   | 33239341.563  |
| 194691:2651 | 05/22/12 04:51:14 | 241  | 241  | 29167025.689   | 28283821.252  |
| 194699:2651 | 05/22/12 08:08:20 | 247  | 247  | 22898424.146   | 22567305.897  |
| 194702:2651 | 05/22/12 09:54:16 | 189  | 189  | 15667767.128   | 15505396.764  |
| 194704:2651 | 05/22/12 11:14:23 | 588  | 588  | 41138323.129   | 40765510.101  |
| 194711:2651 | 05/22/12 15:21:37 | 618  | 618  | 34332715.607   | 34040863.992  |
| 194712:2651 | 05/22/12 19:26:58 | 753  | 753  | 33890376.410   | 33664086.412  |
| 194735:2653 | 05/23/12 04:56:28 | 83   | 83   | 10302304.613   | 9993357.924   |
| 194778:2657 | 05/23/12 14:42:54 | 159  | 159  | 19637156.589   | 18963634.778  |
| 194789:2657 | 05/23/12 16:23:23 | 552  | 552  | 52910269.933   | 52251822.188  |
| 194790:2657 | 05/23/12 20:17:12 | 45   | 45   | 3626010.639    | 3540964.346   |
| 194825:2658 | 05/23/12 23:54:34 | 148  | 148  | 19520642.031   | 18840838.255  |
| 194896:2660 | 05/24/12 13:36:06 | 66   | 66   | 9087410.356    | 8617279.359   |
| 194897:2660 | 05/24/12 14:07:29 | 99   | 99   | 12808801.811   | 12477790.839  |
| 194912:2663 | 05/24/12 23:45:18 | 1580 | 1580 | 155549433.660  | 152287910.800 |
| 194914:2663 | 05/25/12 10:14:34 | 38   | 38   | 2470729.505    | 2434302.738   |
| 194915:2663 | 05/25/12 10:33:19 | 74   | 74   | 4662550.541    | 4621144.592   |
| 195013:2669 | 05/26/12 02:33:46 | 437  | 437  | 55891804.095   | 54270139.879  |
| 195014:2669 | 05/26/12 05:38:07 | 145  | 145  | 15377842.353   | 15206831.681  |
| 195015:2669 | 05/26/12 06:44:08 | 13   | 13   | 1307710.040    | 1187535.566   |
| 195016:2669 | 05/26/12 06:56:15 | 552  | 552  | 48042919.982   | 47540971.175  |
| 195099:2670 | 05/27/12 21:17:38 | 171  | 171  | 24360357.412   | 23593804.718  |
| 195109:2671 | 05/28/12 01:40:39 | 144  | 144  | 20069467.598   | 19429738.302  |
| 195112:2671 | 05/28/12 03:51:01 | 24   | 24   | 2835415.534    | 2426600.200   |
| 195113:2671 | 05/28/12 04:04:17 | 569  | 569  | 57414186.650   | 56490598.900  |
| 195114:2671 | 05/28/12 07:53:29 | 101  | 101  | 8582658.927    | 8431454.572   |
| 195115:2671 | 05/28/12 08:37:22 | 20   | 20   | 1642311.511    | 1624200.288   |
| 195147:2673 | 05/28/12 17:59:45 | 416  | 416  | 53382668.806   | 52093182.889  |
| 195163:2675 | 05/29/12 02:27:30 | 269  | 269  | 36793885.126   | 35549066.156  |
| 195164:2675 | 05/29/12 04:17:00 | 64   | 64   | 7908004.335    | 7734899.914   |
| 195165:2675 | 05/29/12 04:44:03 | 257  | 257  | 28753944.354   | 28269636.489  |
| 195251:2683 | 05/30/12 12:28:53 | 236  | 236  | 31336898.802   | 30484645.800  |
| 195303:2686 | 05/31/12 02:02:28 | 295  | 295  | 39161385.578   | 37610746.323  |
| 195304:2686 | 05/31/12 04:01:24 | 1206 | 1206 | 107578183.300  | 106506589.493 |
| 195378:2691 | 06/01/12 09:43:18 | 1029 | 1029 | 99884471.469   | 98695569.165  |
| 195390:2691 | 06/01/12 21:03:25 | 389  | 389  | 19908340.278   | 19787230.643  |
| 195396:2692 | 06/02/12 03:11:28 | 79   | 79   | 11151547.151   | 10623807.403  |
| 195397:2692 | 06/02/12 03:50:24 | 1188 | 1188 | 117854375.430  | 116333903.631 |
| 195398:2692 | 06/02/12 11:45:18 | 1756 | 1756 | 90018474.847   | 89227117.758  |
| 195399:2692 | 06/02/12 23:25:44 | 381  | 381  | 13237409.895   | 13114576.334  |
| 195530:2698 | 06/04/12 16:30:17 | 399  | 399  | 46786056.784   | 46082156.232  |
| 195540:2700 | 06/05/12 02:45:46 | 246  | 246  | 32673528.970   | 31922026.921  |
| 195551:2701 | 06/05/12 07:35:46 | 16   | 16   | 2282050.215    | 1994198.163   |
| 195552:2701 | 06/05/12 07:44:56 | 1766 | 1766 | 154929434.183  | 153067185.486 |
| 195633:2710 | 06/06/12 16:06:39 | 3    | 3    | 462690.053     | 333722.734    |
| 195647:2710 | 06/06/12 17:39:00 | 41   | 41   | 5351656.160    | 5224937.518   |
| 195649:2710 | 06/06/12 17:58:35 | 242  | 242  | 28860426.172   | 28373027.734  |
| 195655:2710 | 06/06/12 19:55:18 | 490  | 490  | 46923445.541   | 46361268.905  |
| 195656:2710 | 06/06/12 23:11:12 | 362  | 362  | 28660488.823   | 28436825.108  |
| 195658:2710 | 06/07/12 02:24:17 | 382  | 382  | 24535232.714   | 24259202.513  |
