#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 198049:2797 | 07/02/12 06:33:57 | 55   | 55   | 269480.473     | 264633.108    |
| 198050:2797 | 07/02/12 06:59:59 | 154  | 154  | 722244.636     | 711489.033    |
| 198063:2797 | 07/02/12 08:03:42 | 289  | 289  | 1225008.990    | 1211871.693   |
| 198116:2798 | 07/02/12 15:27:55 | 73   | 73   | 5995404.921    | 5786706.532   |
| 198207:2805 | 07/03/12 17:24:56 | 97   | 97   | 6895685.021    | 6809414.952   |
| 198208:2805 | 07/03/12 18:11:26 | 204  | 204  | 12904955.172   | 12721727.470  |
| 198210:2805 | 07/03/12 19:39:26 | 221  | 221  | 12130138.146   | 12042684.224  |
| 198212:2805 | 07/03/12 21:21:04 | 574  | 574  | 25473039.820   | 25193759.726  |
| 198213:2805 | 07/04/12 01:07:23 | 107  | 107  | 4030469.715    | 3938436.764   |
| 198215:2805 | 07/04/12 01:59:27 | 12   | 12   | 434226.980     | 427876.159    |
| 198230:2806 | 07/04/12 05:38:55 | 1358 | 1358 | 97308934.863   | 96444756.060  |
| 198249:2806 | 07/04/12 14:40:07 | 7    | 7    | 345328.590     | 342505.961    |
| 198269:2807 | 07/04/12 20:16:54 | 196  | 196  | 25097849.111   | 24719410.287  |
| 198271:2807 | 07/04/12 21:39:48 | 784  | 784  | 73787152.582   | 72939016.397  |
| 198272:2807 | 07/05/12 02:51:52 | 603  | 603  | 40059301.415   | 39612330.204  |
| 198346:2810 | 07/05/12 17:12:18 | 4    | 4    | 482245.646     | 425124.088    |
| 198372:2812 | 07/05/12 23:33:42 | 54   | 54   | 6905842.335    | 6695049.479   |
| 198485:2816 | 07/07/12 13:40:36 | 167  | 167  | 21087724.792   | 20797945.975  |
| 198487:2816 | 07/07/12 15:02:28 | 1596 | 1596 | 126488409.641  | 125087922.043 |
| 198522:2819 | 07/08/12 15:43:26 | 142  | 142  | 17821044.491   | 17473960.689  |
| 198941:2840 | 07/13/12 19:27:14 | 178  | 178  | 22259272.611   | 21907773.104  |
| 198954:2842 | 07/14/12 03:11:33 | 168  | 168  | 19880836.137   | 19559243.699  |
| 198955:2842 | 07/14/12 04:23:52 | 1524 | 1524 | 116542432.208  | 115267532.471 |
| 198969:2843 | 07/14/12 17:19:30 | 1180 | 1180 | 108348630.915  | 107160278.894 |
| 199008:2847 | 07/15/12 13:46:24 | 558  | 558  | 61478952.517   | 60417438.185  |
| 199011:2847 | 07/15/12 17:30:38 | 23   | 23   | 2127356.698    | 2107957.315   |
| 199021:2848 | 07/15/12 20:20:49 | 1420 | 1420 | 126628337.259  | 125005321.041 |
| 199318:2858 | 07/20/12 02:46:36 | 74   | 74   | 10409816.066   | 10068581.521  |
| 199319:2858 | 07/20/12 03:20:52 | 972  | 972  | 98305613.708   | 96915497.919  |
| 199336:2858 | 07/20/12 09:57:20 | 968  | 968  | 60895617.669   | 60438872.716  |
| 199356:2861 | 07/20/12 23:42:58 | 132  | 132  | 17426797.514   | 17129277.082  |
| 199409:2870 | 07/21/12 20:36:48 | 1267 | 1267 | 110561915.106  | 109217879.315 |
| 199428:2871 | 07/22/12 07:51:57 | 575  | 575  | 61103577.647   | 60101390.354  |
| 199429:2871 | 07/22/12 11:45:12 | 146  | 146  | 12227520.605   | 12090801.221  |
| 199435:2872 | 07/22/12 15:08:32 | 1527 | 1527 | 126804051.578  | 125243790.864 |
| 199436:2872 | 07/23/12 01:16:35 | 742  | 742  | 36238485.979   | 35939367.479  |
| 199564:2873 | 07/23/12 18:18:27 | 3    | 3    | 396619.714     | 386491.131    |
| 199569:2873 | 07/23/12 20:03:34 | 363  | 363  | 36073402.351   | 35620344.411  |
| 199570:2873 | 07/23/12 22:28:09 | 17   | 17   | 1504715.597    | 1436681.472   |
| 199571:2873 | 07/23/12 22:38:03 | 558  | 558  | 43090726.273   | 42504368.558  |
| 199572:2873 | 07/24/12 02:18:49 | 317  | 317  | 20141645.630   | 19902159.920  |
| 199573:2873 | 07/24/12 04:23:07 | 22   | 22   | 1311332.339    | 1286189.430   |
| 199574:2873 | 07/24/12 04:35:09 | 242  | 242  | 13564045.699   | 13475436.841  |
| 199608:2875 | 07/24/12 13:47:05 | 2343 | 2343 | 168824011.389  | 167118112.796 |
| 199698:2880 | 07/26/12 00:15:48 | 55   | 55   | 6609771.265    | 6479772.160   |
| 199699:2880 | 07/26/12 00:43:46 | 751  | 751  | 69146934.296   | 68208518.871  |
| 199703:2880 | 07/26/12 05:55:45 | 525  | 525  | 33326233.049   | 33072271.098  |
| 199739:2882 | 07/26/12 17:15:20 | 68   | 68   | 8472907.180    | 8354311.352   |
